database,table_name,username,permission_level,last_verified,notes
dw,dim_product_addl_info_dd,ds_forecast_sys_rw,SELECT,,浜у搧闄勫姞淇℃伅-鐗╂枡缁勩€侀攢鍞粍缁囦俊鎭?
dw,dim_product_attr_info_dd,ds_forecast_sys_rw,SELECT,,浜у搧瀵瑰簲灞炴€у強灞炴€у€间俊鎭?
dw,dim_product_base_info_dd,ds_forecast_sys_rw,SELECT,,浜у搧涓绘暟鎹熀鏈俊鎭?
dw,dim_product_base_info_nd,ds_forecast_sys_rw,SELECT,,鐭ヨ瘑搴?浜у搧灞炴€т俊鎭?
dw,dim_product_class_info_dd,ds_forecast_sys_rw,SELECT,,浜у搧鍒嗙被缁村害琛?
dw,dim_public_reference_data_dd,ds_forecast_sys_rw,SELECT,,婧愮郴缁熸棤娉ㄩ噴
dw,dim_supplier_base_info_dd,ds_forecast_sys_rw,SELECT,,渚涘簲鍟嗕富鏁版嵁鍩烘湰淇℃伅
dw,dim_supplier_company_info_dd,ds_forecast_sys_rw,SELECT,,渚涘簲鍟?鍏徃瑙嗗浘
ods,odss990_ZMDGT139,ds_forecast_sys_rw,SELECT,,
ods,odss990_ZMDGT150,ds_forecast_sys_rw,SELECT,,
ods,odss990_ZMDGT153,ds_forecast_sys_rw,SELECT,,
ods,odss990_tgsb,ds_forecast_sys_rw,SELECT,,涓氬姟鑼冨洿
ods,odss990_zmdgt134,ds_forecast_sys_rw,SELECT,,鍔犺浇鏃堕棿
ods,odss990_zmdgt137,ds_forecast_sys_rw,SELECT,,涓氬姟鑼冨洿鍜屽叕鍙镐唬鐮佸叧绯?
ods,odss990_zmdgt138,ds_forecast_sys_rw,SELECT,,鍋滅敤鏍囪瘑
ods,odss990_zmdgt143,ds_forecast_sys_rw,SELECT,,鍒╂鼎涓績涓庢垚鏈腑蹇冨叧绯昏〃
ods,odss990_zmdgt144,ds_forecast_sys_rw,SELECT,,涓氬姟鑼冨洿涓庢垚鏈腑蹇冨叧绯昏〃
dim,dim_mhr_mos_org_base_info_dd,ds_nzkjai_ro,SELECT,,缁勭粐涓绘暟鎹熀鏈俊鎭?
dim,dim_mk_shop_detail_dd,ds_nzkjai_ro,SELECT,,闂ㄥ簵鏄庣粏琛?
dim,dim_mk_shop_info_dd,ds_nzkjai_ro,SELECT,,闂ㄥ簵鍩虹淇℃伅琛?
dim,dim_ref_data_dd,ds_nzkjai_ro,SELECT,,鍙傝€冩暟鎹?缂栫爜缁村害琛?
dim,dim_ref_quote_code_dd,ds_nzkjai_ro,SELECT,,鍙傝€冩暟鎹?浠ｇ爜缁村害琛?
dw,dim_adm_china_dd,ds_nzkjai_ro,SELECT,,鍖哄煙-涓浗琛屾斂鍖哄垝
dw,dim_attr_value_info_dd,ds_nzkjai_ro,SELECT,,灞炴€у€间俊鎭淮搴﹁〃
dw,dim_customer_base_info_dd,ds_nzkjai_ro,SELECT,,瀹㈡埛涓绘暟鎹熀鏈俊鎭?
dw,dim_customer_trade_info_dd,ds_nzkjai_ro,SELECT,,瀹㈡埛璐告槗鍏崇郴淇℃伅淇℃伅
dw,dim_date_nd,ds_nzkjai_ro,SELECT,,鏃ユ湡缁村害涓昏〃
dw,dim_material_attr_info_dd,ds_nzkjai_ro,SELECT,,鐗╂枡瀵瑰簲灞炴€у強灞炴€у€间俊鎭?
dw,dim_material_base_info_dd,ds_nzkjai_ro,SELECT,,鐗╂枡涓绘暟鎹熀鏈俊鎭?
dw,dim_material_class_attr_mapping_dd,ds_nzkjai_ro,SELECT,,鐗╂枡鍒嗙被-灞炴€у叧绯绘槧灏勮〃
dw,dim_material_class_info_dd,ds_nzkjai_ro,SELECT,,鐗╂枡鍒嗙被淇℃伅骞抽摵灞曠ず琛?
dw,dim_material_sap_compare_dd,ds_nzkjai_ro,SELECT,,鐗╂枡绯荤粺缂栫爜瀵圭収
dw,dim_product_addl_info_dd,ds_nzkjai_ro,SELECT,,浜у搧闄勫姞淇℃伅-鐗╂枡缁勩€侀攢鍞粍缁囦俊鎭?
dw,dim_product_attr_info_dd,ds_nzkjai_ro,SELECT,,浜у搧瀵瑰簲灞炴€у強灞炴€у€间俊鎭?
dw,dim_product_base_info_dd,ds_nzkjai_ro,SELECT,,浜у搧涓绘暟鎹熀鏈俊鎭?
dw,dim_product_base_info_nd,ds_nzkjai_ro,SELECT,,鐭ヨ瘑搴?浜у搧灞炴€т俊鎭?
dw,dim_product_class_info_dd,ds_nzkjai_ro,SELECT,,浜у搧鍒嗙被缁村害琛?
dw,dim_public_reference_data_dd,ds_nzkjai_ro,SELECT,,婧愮郴缁熸棤娉ㄩ噴
dw,dim_supplier_base_info_dd,ds_nzkjai_ro,SELECT,,渚涘簲鍟嗕富鏁版嵁鍩烘湰淇℃伅
dw,dim_supplier_company_info_dd,ds_nzkjai_ro,SELECT,,渚涘簲鍟?鍏徃瑙嗗浘
ods,odss990_ZMDGT139,ds_nzkjai_ro,SELECT,,
ods,odss990_ZMDGT150,ds_nzkjai_ro,SELECT,,
ods,odss990_ZMDGT153,ds_nzkjai_ro,SELECT,,
ods,odss990_tgsb,ds_nzkjai_ro,SELECT,,涓氬姟鑼冨洿
ods,odss990_zmdgt134,ds_nzkjai_ro,SELECT,,鍔犺浇鏃堕棿
ods,odss990_zmdgt137,ds_nzkjai_ro,SELECT,,涓氬姟鑼冨洿鍜屽叕鍙镐唬鐮佸叧绯?
ods,odss990_zmdgt138,ds_nzkjai_ro,SELECT,,鍋滅敤鏍囪瘑
ods,odss990_zmdgt143,ds_nzkjai_ro,SELECT,,鍒╂鼎涓績涓庢垚鏈腑蹇冨叧绯昏〃
ods,odss990_zmdgt144,ds_nzkjai_ro,SELECT,,涓氬姟鑼冨洿涓庢垚鏈腑蹇冨叧绯昏〃
dim,dim_mhr_mos_org_base_info_dd,ds_nzkj_rw,SELECT,,缁勭粐涓绘暟鎹熀鏈俊鎭?
dim,dim_mk_shop_detail_dd,ds_nzkj_rw,SELECT,,闂ㄥ簵鏄庣粏琛?
dim,dim_mk_shop_info_dd,ds_nzkj_rw,SELECT,,闂ㄥ簵鍩虹淇℃伅琛?
dim,dim_ref_data_dd,ds_nzkj_rw,SELECT,,鍙傝€冩暟鎹?缂栫爜缁村害琛?
dim,dim_ref_quote_code_dd,ds_nzkj_rw,SELECT,,鍙傝€冩暟鎹?浠ｇ爜缁村害琛?
dw,dim_adm_china_dd,ds_nzkj_rw,SELECT,,鍖哄煙-涓浗琛屾斂鍖哄垝
dw,dim_attr_value_info_dd,ds_nzkj_rw,SELECT,,灞炴€у€间俊鎭淮搴﹁〃
dw,dim_customer_base_info_dd,ds_nzkj_rw,SELECT,,瀹㈡埛涓绘暟鎹熀鏈俊鎭?
dw,dim_customer_trade_info_dd,ds_nzkj_rw,SELECT,,瀹㈡埛璐告槗鍏崇郴淇℃伅淇℃伅
dw,dim_date_nd,ds_nzkj_rw,SELECT,,鏃ユ湡缁村害涓昏〃
dw,dim_material_attr_info_dd,ds_nzkj_rw,SELECT,,鐗╂枡瀵瑰簲灞炴€у強灞炴€у€间俊鎭?
dw,dim_material_base_info_dd,ds_nzkj_rw,SELECT,,鐗╂枡涓绘暟鎹熀鏈俊鎭?
dw,dim_material_class_attr_mapping_dd,ds_nzkj_rw,SELECT,,鐗╂枡鍒嗙被-灞炴€у叧绯绘槧灏勮〃
dw,dim_material_class_info_dd,ds_nzkj_rw,SELECT,,鐗╂枡鍒嗙被淇℃伅骞抽摵灞曠ず琛?
dw,dim_material_sap_compare_dd,ds_nzkj_rw,SELECT,,鐗╂枡绯荤粺缂栫爜瀵圭収
dw,dim_product_addl_info_dd,ds_nzkj_rw,SELECT,,浜у搧闄勫姞淇℃伅-鐗╂枡缁勩€侀攢鍞粍缁囦俊鎭?
dw,dim_product_attr_info_dd,ds_nzkj_rw,SELECT,,浜у搧瀵瑰簲灞炴€у強灞炴€у€间俊鎭?
dw,dim_product_base_info_dd,ds_nzkj_rw,SELECT,,浜у搧涓绘暟鎹熀鏈俊鎭?
dw,dim_product_base_info_nd,ds_nzkj_rw,SELECT,,鐭ヨ瘑搴?浜у搧灞炴€т俊鎭?
dw,dim_product_class_info_dd,ds_nzkj_rw,SELECT,,浜у搧鍒嗙被缁村害琛?
dw,dim_public_reference_data_dd,ds_nzkj_rw,SELECT,,婧愮郴缁熸棤娉ㄩ噴
dw,dim_supplier_base_info_dd,ds_nzkj_rw,SELECT,,渚涘簲鍟嗕富鏁版嵁鍩烘湰淇℃伅
dw,dim_supplier_company_info_dd,ds_nzkj_rw,SELECT,,渚涘簲鍟?鍏徃瑙嗗浘
ods,odss990_ZMDGT139,ds_nzkj_rw,SELECT,,
ods,odss990_ZMDGT150,ds_nzkj_rw,SELECT,,
ods,odss990_ZMDGT153,ds_nzkj_rw,SELECT,,
ods,odss990_tgsb,ds_nzkj_rw,SELECT,,涓氬姟鑼冨洿
ods,odss990_zmdgt134,ds_nzkj_rw,SELECT,,鍔犺浇鏃堕棿
ods,odss990_zmdgt137,ds_nzkj_rw,SELECT,,涓氬姟鑼冨洿鍜屽叕鍙镐唬鐮佸叧绯?
ods,odss990_zmdgt138,ds_nzkj_rw,SELECT,,鍋滅敤鏍囪瘑
ods,odss990_zmdgt143,ds_nzkj_rw,SELECT,,鍒╂鼎涓績涓庢垚鏈腑蹇冨叧绯昏〃
ods,odss990_zmdgt144,ds_nzkj_rw,SELECT,,涓氬姟鑼冨洿涓庢垚鏈腑蹇冨叧绯昏〃
dim,dim_mhr_mos_org_base_info_dd,ds_qms_rw,SELECT,,缁勭粐涓绘暟鎹熀鏈俊鎭?
dim,dim_mk_shop_detail_dd,ds_qms_rw,SELECT,,闂ㄥ簵鏄庣粏琛?
dim,dim_mk_shop_info_dd,ds_qms_rw,SELECT,,闂ㄥ簵鍩虹淇℃伅琛?
dim,dim_ref_data_dd,ds_qms_rw,SELECT,,鍙傝€冩暟鎹?缂栫爜缁村害琛?
dim,dim_ref_quote_code_dd,ds_qms_rw,SELECT,,鍙傝€冩暟鎹?浠ｇ爜缁村害琛?
dw,dim_adm_china_dd,ds_qms_rw,SELECT,,鍖哄煙-涓浗琛屾斂鍖哄垝
dw,dim_attr_value_info_dd,ds_qms_rw,SELECT,,灞炴€у€间俊鎭淮搴﹁〃
dw,dim_customer_base_info_dd,ds_qms_rw,SELECT,,瀹㈡埛涓绘暟鎹熀鏈俊鎭?
dw,dim_customer_trade_info_dd,ds_qms_rw,SELECT,,瀹㈡埛璐告槗鍏崇郴淇℃伅淇℃伅
dw,dim_date_nd,ds_qms_rw,SELECT,,鏃ユ湡缁村害涓昏〃
dw,dim_material_attr_info_dd,ds_qms_rw,SELECT,,鐗╂枡瀵瑰簲灞炴€у強灞炴€у€间俊鎭?
dw,dim_material_base_info_dd,ds_qms_rw,SELECT,,鐗╂枡涓绘暟鎹熀鏈俊鎭?
dw,dim_material_class_attr_mapping_dd,ds_qms_rw,SELECT,,鐗╂枡鍒嗙被-灞炴€у叧绯绘槧灏勮〃
dw,dim_material_class_info_dd,ds_qms_rw,SELECT,,鐗╂枡鍒嗙被淇℃伅骞抽摵灞曠ず琛?
dw,dim_material_sap_compare_dd,ds_qms_rw,SELECT,,鐗╂枡绯荤粺缂栫爜瀵圭収
dw,dim_product_addl_info_dd,ds_qms_rw,SELECT,,浜у搧闄勫姞淇℃伅-鐗╂枡缁勩€侀攢鍞粍缁囦俊鎭?
dw,dim_product_attr_info_dd,ds_qms_rw,SELECT,,浜у搧瀵瑰簲灞炴€у強灞炴€у€间俊鎭?
dw,dim_product_base_info_dd,ds_qms_rw,SELECT,,浜у搧涓绘暟鎹熀鏈俊鎭?
dw,dim_product_base_info_nd,ds_qms_rw,SELECT,,鐭ヨ瘑搴?浜у搧灞炴€т俊鎭?
dw,dim_product_class_info_dd,ds_qms_rw,SELECT,,浜у搧鍒嗙被缁村害琛?
dw,dim_public_reference_data_dd,ds_qms_rw,SELECT,,婧愮郴缁熸棤娉ㄩ噴
dw,dim_supplier_base_info_dd,ds_qms_rw,SELECT,,渚涘簲鍟嗕富鏁版嵁鍩烘湰淇℃伅
dw,dim_supplier_company_info_dd,ds_qms_rw,SELECT,,渚涘簲鍟?鍏徃瑙嗗浘
ods,odss990_ZMDGT139,ds_qms_rw,SELECT,,
ods,odss990_ZMDGT150,ds_qms_rw,SELECT,,
ods,odss990_ZMDGT153,ds_qms_rw,SELECT,,
ods,odss990_tgsb,ds_qms_rw,SELECT,,涓氬姟鑼冨洿
ods,odss990_zmdgt134,ds_qms_rw,SELECT,,鍔犺浇鏃堕棿
ods,odss990_zmdgt137,ds_qms_rw,SELECT,,涓氬姟鑼冨洿鍜屽叕鍙镐唬鐮佸叧绯?
ods,odss990_zmdgt138,ds_qms_rw,SELECT,,鍋滅敤鏍囪瘑
ods,odss990_zmdgt143,ds_qms_rw,SELECT,,鍒╂鼎涓績涓庢垚鏈腑蹇冨叧绯昏〃
ods,odss990_zmdgt144,ds_qms_rw,SELECT,,涓氬姟鑼冨洿涓庢垚鏈腑蹇冨叧绯昏〃
dim,dim_mhr_mos_org_base_info_dd,ds_nzkj_ro,SELECT,,缁勭粐涓绘暟鎹熀鏈俊鎭?
dim,dim_mk_shop_detail_dd,ds_nzkj_ro,SELECT,,闂ㄥ簵鏄庣粏琛?
dim,dim_mk_shop_info_dd,ds_nzkj_ro,SELECT,,闂ㄥ簵鍩虹淇℃伅琛?
dim,dim_ref_data_dd,ds_nzkj_ro,SELECT,,鍙傝€冩暟鎹?缂栫爜缁村害琛?
dim,dim_ref_quote_code_dd,ds_nzkj_ro,SELECT,,鍙傝€冩暟鎹?浠ｇ爜缁村害琛?
dw,dim_adm_china_dd,ds_nzkj_ro,SELECT,,鍖哄煙-涓浗琛屾斂鍖哄垝
dw,dim_attr_value_info_dd,ds_nzkj_ro,SELECT,,灞炴€у€间俊鎭淮搴﹁〃
dw,dim_customer_base_info_dd,ds_nzkj_ro,SELECT,,瀹㈡埛涓绘暟鎹熀鏈俊鎭?
dw,dim_customer_trade_info_dd,ds_nzkj_ro,SELECT,,瀹㈡埛璐告槗鍏崇郴淇℃伅淇℃伅
dw,dim_date_nd,ds_nzkj_ro,SELECT,,鏃ユ湡缁村害涓昏〃
dw,dim_material_attr_info_dd,ds_nzkj_ro,SELECT,,鐗╂枡瀵瑰簲灞炴€у強灞炴€у€间俊鎭?
dw,dim_material_base_info_dd,ds_nzkj_ro,SELECT,,鐗╂枡涓绘暟鎹熀鏈俊鎭?
dw,dim_material_class_attr_mapping_dd,ds_nzkj_ro,SELECT,,鐗╂枡鍒嗙被-灞炴€у叧绯绘槧灏勮〃
dw,dim_material_class_info_dd,ds_nzkj_ro,SELECT,,鐗╂枡鍒嗙被淇℃伅骞抽摵灞曠ず琛?
dw,dim_material_sap_compare_dd,ds_nzkj_ro,SELECT,,鐗╂枡绯荤粺缂栫爜瀵圭収
dw,dim_product_addl_info_dd,ds_nzkj_ro,SELECT,,浜у搧闄勫姞淇℃伅-鐗╂枡缁勩€侀攢鍞粍缁囦俊鎭?
dw,dim_product_attr_info_dd,ds_nzkj_ro,SELECT,,浜у搧瀵瑰簲灞炴€у強灞炴€у€间俊鎭?
dw,dim_product_base_info_dd,ds_nzkj_ro,SELECT,,浜у搧涓绘暟鎹熀鏈俊鎭?
dw,dim_product_base_info_nd,ds_nzkj_ro,SELECT,,鐭ヨ瘑搴?浜у搧灞炴€т俊鎭?
dw,dim_product_class_info_dd,ds_nzkj_ro,SELECT,,浜у搧鍒嗙被缁村害琛?
dw,dim_public_reference_data_dd,ds_nzkj_ro,SELECT,,婧愮郴缁熸棤娉ㄩ噴
dw,dim_supplier_base_info_dd,ds_nzkj_ro,SELECT,,渚涘簲鍟嗕富鏁版嵁鍩烘湰淇℃伅
dw,dim_supplier_company_info_dd,ds_nzkj_ro,SELECT,,渚涘簲鍟?鍏徃瑙嗗浘
ods,odss990_ZMDGT139,ds_nzkj_ro,SELECT,,
ods,odss990_ZMDGT150,ds_nzkj_ro,SELECT,,
ods,odss990_ZMDGT153,ds_nzkj_ro,SELECT,,
ods,odss990_tgsb,ds_nzkj_ro,SELECT,,涓氬姟鑼冨洿
ods,odss990_zmdgt134,ds_nzkj_ro,SELECT,,鍔犺浇鏃堕棿
ods,odss990_zmdgt137,ds_nzkj_ro,SELECT,,涓氬姟鑼冨洿鍜屽叕鍙镐唬鐮佸叧绯?
ods,odss990_zmdgt138,ds_nzkj_ro,SELECT,,鍋滅敤鏍囪瘑
ods,odss990_zmdgt143,ds_nzkj_ro,SELECT,,鍒╂鼎涓績涓庢垚鏈腑蹇冨叧绯昏〃
ods,odss990_zmdgt144,ds_nzkj_ro,SELECT,,涓氬姟鑼冨洿涓庢垚鏈腑蹇冨叧绯昏〃
dim,dim_mhr_mos_org_base_info_dd,ds_qms_ro,SELECT,,缁勭粐涓绘暟鎹熀鏈俊鎭?
dim,dim_mk_shop_detail_dd,ds_qms_ro,SELECT,,闂ㄥ簵鏄庣粏琛?
dim,dim_mk_shop_info_dd,ds_qms_ro,SELECT,,闂ㄥ簵鍩虹淇℃伅琛?
dim,dim_ref_data_dd,ds_qms_ro,SELECT,,鍙傝€冩暟鎹?缂栫爜缁村害琛?
dim,dim_ref_quote_code_dd,ds_qms_ro,SELECT,,鍙傝€冩暟鎹?浠ｇ爜缁村害琛?
dw,dim_adm_china_dd,ds_qms_ro,SELECT,,鍖哄煙-涓浗琛屾斂鍖哄垝
dw,dim_attr_value_info_dd,ds_qms_ro,SELECT,,灞炴€у€间俊鎭淮搴﹁〃
dw,dim_customer_base_info_dd,ds_qms_ro,SELECT,,瀹㈡埛涓绘暟鎹熀鏈俊鎭?
dw,dim_customer_trade_info_dd,ds_qms_ro,SELECT,,瀹㈡埛璐告槗鍏崇郴淇℃伅淇℃伅
dw,dim_date_nd,ds_qms_ro,SELECT,,鏃ユ湡缁村害涓昏〃
dw,dim_material_attr_info_dd,ds_qms_ro,SELECT,,鐗╂枡瀵瑰簲灞炴€у強灞炴€у€间俊鎭?
dw,dim_material_base_info_dd,ds_qms_ro,SELECT,,鐗╂枡涓绘暟鎹熀鏈俊鎭?
dw,dim_material_class_attr_mapping_dd,ds_qms_ro,SELECT,,鐗╂枡鍒嗙被-灞炴€у叧绯绘槧灏勮〃
dw,dim_material_class_info_dd,ds_qms_ro,SELECT,,鐗╂枡鍒嗙被淇℃伅骞抽摵灞曠ず琛?
dw,dim_material_sap_compare_dd,ds_qms_ro,SELECT,,鐗╂枡绯荤粺缂栫爜瀵圭収
dw,dim_product_addl_info_dd,ds_qms_ro,SELECT,,浜у搧闄勫姞淇℃伅-鐗╂枡缁勩€侀攢鍞粍缁囦俊鎭?
dw,dim_product_attr_info_dd,ds_qms_ro,SELECT,,浜у搧瀵瑰簲灞炴€у強灞炴€у€间俊鎭?
dw,dim_product_base_info_dd,ds_qms_ro,SELECT,,浜у搧涓绘暟鎹熀鏈俊鎭?
dw,dim_product_base_info_nd,ds_qms_ro,SELECT,,鐭ヨ瘑搴?浜у搧灞炴€т俊鎭?
dw,dim_product_class_info_dd,ds_qms_ro,SELECT,,浜у搧鍒嗙被缁村害琛?
dw,dim_public_reference_data_dd,ds_qms_ro,SELECT,,婧愮郴缁熸棤娉ㄩ噴
dw,dim_supplier_base_info_dd,ds_qms_ro,SELECT,,渚涘簲鍟嗕富鏁版嵁鍩烘湰淇℃伅
dw,dim_supplier_company_info_dd,ds_qms_ro,SELECT,,渚涘簲鍟?鍏徃瑙嗗浘
ods,odss990_ZMDGT139,ds_qms_ro,SELECT,,
ods,odss990_ZMDGT150,ds_qms_ro,SELECT,,
ods,odss990_ZMDGT153,ds_qms_ro,SELECT,,
ods,odss990_tgsb,ds_qms_ro,SELECT,,涓氬姟鑼冨洿
ods,odss990_zmdgt134,ds_qms_ro,SELECT,,鍔犺浇鏃堕棿
ods,odss990_zmdgt137,ds_qms_ro,SELECT,,涓氬姟鑼冨洿鍜屽叕鍙镐唬鐮佸叧绯?
ods,odss990_zmdgt138,ds_qms_ro,SELECT,,鍋滅敤鏍囪瘑
ods,odss990_zmdgt143,ds_qms_ro,SELECT,,鍒╂鼎涓績涓庢垚鏈腑蹇冨叧绯昏〃
ods,odss990_zmdgt144,ds_qms_ro,SELECT,,涓氬姟鑼冨洿涓庢垚鏈腑蹇冨叧绯昏〃
dim,dim_mhr_mos_org_base_info_dd,ds_dataservice_ro,SELECT,,缁勭粐涓绘暟鎹熀鏈俊鎭?
dim,dim_mk_shop_detail_dd,ds_dataservice_ro,SELECT,,闂ㄥ簵鏄庣粏琛?
dim,dim_mk_shop_info_dd,ds_dataservice_ro,SELECT,,闂ㄥ簵鍩虹淇℃伅琛?
dim,dim_ref_data_dd,ds_dataservice_ro,SELECT,,鍙傝€冩暟鎹?缂栫爜缁村害琛?
dim,dim_ref_quote_code_dd,ds_dataservice_ro,SELECT,,鍙傝€冩暟鎹?浠ｇ爜缁村害琛?
dw,dim_adm_china_dd,ds_dataservice_ro,SELECT,,鍖哄煙-涓浗琛屾斂鍖哄垝
dw,dim_attr_value_info_dd,ds_dataservice_ro,SELECT,,灞炴€у€间俊鎭淮搴﹁〃
dw,dim_customer_base_info_dd,ds_dataservice_ro,SELECT,,瀹㈡埛涓绘暟鎹熀鏈俊鎭?
dw,dim_customer_trade_info_dd,ds_dataservice_ro,SELECT,,瀹㈡埛璐告槗鍏崇郴淇℃伅淇℃伅
dw,dim_date_nd,ds_dataservice_ro,SELECT,,鏃ユ湡缁村害涓昏〃
